                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        6596      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6 
                    log_star_age                           radius                        star_mass                       luminosity                   center_entropy                  Bolometric_Flux 
         7.3148292752006174E+000          7.4153214053243599E-002          5.1513086668007243E-005          2.7699940314009563E-009          7.3956525591945148E+000          3.0545365716285449E+006 
         7.3206161348219982E+000          7.4032153776435516E-002          5.1513086668007243E-005          2.7294099188916305E-009          7.3911018547797109E+000          3.0445712262463565E+006 
         7.3263224016639450E+000          7.3913311464606418E-002          5.1513086668007243E-005          2.6898676136254824E-009          7.3866396105082037E+000          3.0348042952481229E+006 
         7.3319597022495575E+000          7.3796438905319159E-002          5.1513086668007243E-005          2.6519023053522823E-009          7.3822184294013731E+000          3.0252145495941658E+006 
         7.3375385353197373E+000          7.3681252439575920E-002          5.1513086668007243E-005          2.6144569517473139E-009          7.3778490061084296E+000          3.0157780015885136E+006 
         7.3430662352640406E+000          7.3567613830486711E-002          5.1513086668007243E-005          2.5778371374273189E-009          7.3735171879589725E+000          3.0064827052641916E+006 
         7.3485495073843028E+000          7.3455355963638294E-002          5.1513086668007243E-005          2.5419814557710423E-009          7.3692091371884869E+000          2.9973144362770738E+006 
         7.3539941951934864E+000          7.3344365452658267E-002          5.1513086668007243E-005          2.5068351555612942E-009          7.3649541041551716E+000          2.9882634386229482E+006 
         7.3594040446894375E+000          7.3234491899945908E-002          5.1513086668007243E-005          2.4723281682210457E-009          7.3606874885972653E+000          2.9793170065380489E+006 
         7.3647775829587312E+000          7.3125868862760554E-002          5.1513086668007243E-005          2.4385192013992680E-009          7.3564935014008199E+000          2.9704855815753075E+006 
         7.3701193396114313E+000          7.3018339373299851E-002          5.1513086668007243E-005          2.4053345778901875E-009          7.3523004314055900E+000          2.9617559771860885E+006 
         7.3754333841318926E+000          7.2911815054953893E-002          5.1513086668007243E-005          2.3727330525449900E-009          7.3481225754941342E+000          2.9531206424708050E+006 
         7.3807232635363045E+000          7.2806225291286428E-002          5.1513086668007243E-005          2.3406908382700255E-009          7.3439917775559005E+000          2.9445735085246288E+006 
         7.3859921030047246E+000          7.2701488922322866E-002          5.1513086668007243E-005          2.3091752760805843E-009          7.3398576319068445E+000          2.9361076910236641E+006 
         7.3912426242190410E+000          7.2597563531626663E-002          5.1513086668007243E-005          2.2786772224093979E-009          7.3357553362172236E+000          2.9277194709117361E+006 
         7.3964781414208742E+000          7.2494340746532257E-002          5.1513086668007243E-005          2.2482781518814073E-009          7.3316609269394437E+000          2.9193998387799663E+006 
         7.4017000192336955E+000          7.2391803917401340E-002          5.1513086668007243E-005          2.2183359037248935E-009          7.3275658679250455E+000          2.9111472138125682E+006 
         7.4069099514657282E+000          7.2289933703865175E-002          5.1513086668007243E-005          2.1888394442033419E-009          7.3234941885226164E+000          2.9029598082702840E+006 
         7.4121095806448256E+000          7.2188681184787704E-002          5.1513086668007243E-005          2.1597708666584681E-009          7.3194316123576888E+000          2.8948334722464159E+006 
         7.4173003644839124E+000          7.2088022753940550E-002          5.1513086668007243E-005          2.1311180482554469E-009          7.3153727548948444E+000          2.8867661066601751E+006 
         7.4224835985788609E+000          7.1987924198747999E-002          5.1513086668007243E-005          2.1028681044972350E-009          7.3113300934396248E+000          2.8787547759153577E+006 
         7.4276604420932566E+000          7.1888368994825258E-002          5.1513086668007243E-005          2.0757178290343986E-009          7.3072659722674018E+000          2.8707979734476102E+006 
         7.4328332681476841E+000          7.1789250468045726E-002          5.1513086668007243E-005          2.0485197880062221E-009          7.3032348950291714E+000          2.8628870108312513E+006 
         7.4380020446254935E+000          7.1690612142041962E-002          5.1513086668007243E-005          2.0216891414594793E-009          7.2992045797243383E+000          2.8550252103957073E+006 
